Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
porijunior,39,101,38,0,67.15,0,0,0,0,0,67.15
Dazzerrie,0,1,11,113,350.25,0,0,11,98,305.0,45.25
Brokenjades,2,74,569,5,602.7,2,73,535,5,568.45,34.25
NeGan,0,0,213,0,213.0,0,0,186,0,186.0,27.0
CHOCO1,0,46,14,0,25.5,0,0,0,0,0,25.5
Loos,0,34,149,1,160.5,0,34,128,0,136.5,24.0
Orkam,0,34,127,0,135.5,0,32,104,0,112.0,23.5
Snowbody,0,0,168,0,168.0,0,0,147,0,147.0,21.0
Lil Doom,0,0,169,15,214.0,0,0,149,15,194.0,20.0
MinaOfDoom,0,0,93,1,96.0,0,0,73,1,76.0,20.0
CullObsidian,0,2,74,0,74.5,0,2,54,0,54.5,20.0
LadyLu,1,196,234,0,283.1,1,194,215,0,263.6,19.5
TortureAngel,0,54,134,0,147.5,0,45,117,0,128.25,19.25
malphite,0,1,133,0,133.25,0,1,114,0,114.25,19.0
Lord Tudor,0,9,94,5,111.25,0,8,88,1,93.0,18.25
ProximaMdnit,0,3,73,0,73.75,0,2,55,0,55.5,18.25
Anadolu EFES,0,0,179,7,200.0,0,0,161,7,182.0,18.0
LadyMayMay,315,893,540,3,803.75,315,890,523,3,786.0,17.75
alek,0,4,156,4,169.0,0,4,139,4,152.0,17.0
LadyRooRoo,2,226,200,1,259.7,2,218,186,1,243.7,16.0
Pennybags 7,0,1,87,0,87.25,0,1,71,0,71.25,16.0
ThaNOs,0,3,113,44,245.75,0,3,107,41,230.75,15.0
FLuffyBunny,0,0,103,0,103.0,0,0,89,0,89.0,14.0
YumYum,0,1,113,0,113.25,0,0,100,0,100.0,13.25
DagNab It,0,0,103,0,103.0,0,0,90,0,90.0,13.0
Lil Stinker,0,0,130,0,130.0,0,0,117,0,117.0,13.0
RaGnar,0,1,74,0,74.25,0,1,61,0,61.25,13.0
Lady Lioness,0,52,66,0,79.0,0,47,55,0,66.75,12.25
lilth,0,5,189,3,199.25,0,5,177,3,187.25,12.0
ReyNema,0,16,93,5,112.0,0,13,82,5,100.25,11.75
ZorO,61,779,82,0,282.85,61,770,73,0,271.6,11.25
Yum Yum 1,0,1,99,0,99.25,0,1,88,0,88.25,11.0
Wolffsson,0,14,65,1,71.5,0,14,57,0,60.5,11.0
shiny,0,241,31,0,91.25,0,210,28,0,80.5,10.75
tank007,0,132,88,0,121.0,0,102,85,0,110.5,10.5
Loos shadow,290,597,316,0,494.25,290,596,306,0,484.0,10.25
Lord Greg,1,55,35,0,48.85,1,48,27,0,39.1,9.75
Laxuss Redwyne,0,3,67,2,73.75,0,3,61,1,64.75,9.0
Perun,0,3,100,0,100.75,0,3,91,0,91.75,9.0
Lord Pori,0,7,20,26,99.75,0,7,17,24,90.75,9.0
Wuesti,0,0,80,0,80.0,0,0,71,0,71.0,9.0
Oma2015,0,0,48,0,48.0,0,0,40,0,40.0,8.0
CorVusGlaive,0,0,56,0,56.0,0,0,48,0,48.0,8.0
Little Tudor,515,725,24,0,256.75,513,708,21,0,249.3,7.45
brokenjade00,1,15,122,0,125.85,1,15,115,0,118.85,7.0
Chaos2018,0,10,37,0,39.5,0,10,30,0,32.5,7.0
Korioko,0,597,0,0,149.25,0,576,0,0,144.0,5.25
8track,8,625,143,0,300.05,8,616,140,0,294.8,5.25
Lil Lioness,826,886,3,0,307.1,826,866,3,0,302.1,5.0
Frickey,0,0,25,0,25.0,0,0,20,0,20.0,5.0
gibbs,0,126,4,0,35.5,0,109,4,0,31.25,4.25
Rum runner,93,380,122,0,226.3,93,380,118,0,222.3,4.0
tiks n tease,0,26,12,0,18.5,0,23,9,0,14.75,3.75
Tuatahi,0,30,18,0,25.5,0,25,16,0,22.25,3.25
PPaTT,0,120,0,0,30.0,0,107,0,0,26.75,3.25
Ares Inferno,66,205,60,0,117.85,66,205,57,0,114.85,3.0
Efah,352,300,138,1,251.2,352,300,135,1,248.2,3.0
ReyN,218,472,275,0,414.8,218,472,272,0,411.8,3.0
Jarvs Stark,0,0,3,0,3.0,0,0,0,0,0,3.0
brokenjade03,34,43,0,0,14.15,34,33,0,0,11.65,2.5
