Player,Curr2,Curr3,Curr4,Curr5,Curr_Score,Pre2,Pre3,Pre4,Pre5,Prev_Score,Inc_Score
Dazzerrie,0,0,11,98,305.0,0,0,7,77,238.0,67.0
Lil Doom,0,0,149,15,194.0,0,0,129,4,141.0,53.0
LILth,0,5,177,3,187.25,0,5,142,2,149.25,38.0
Brokenjades,2,73,535,5,568.45,2,73,505,5,538.45,30.0
ThaNOs,0,3,107,41,230.75,0,3,92,37,203.75,27.0
tank007,0,102,85,0,110.5,0,100,59,0,84.0,26.5
Lil Stinker,0,0,117,0,117.0,0,0,92,0,92.0,25.0
Snowbody,0,0,147,0,147.0,0,0,122,0,122.0,25.0
alek,0,4,139,4,152.0,0,4,124,1,128.0,24.0
TortureAngel,0,45,117,0,128.25,0,36,96,0,105.0,23.25
Lord Pori,0,7,17,24,90.75,0,6,15,17,67.5,23.25
NeGan,0,0,186,0,186.0,0,0,164,0,164.0,22.0
DagNab It,0,0,90,0,90.0,0,0,68,0,68.0,22.0
Anadolu EFES,0,0,161,7,182.0,0,0,139,7,160.0,22.0
Wuesti,0,0,71,0,71.0,0,0,49,0,49.0,22.0
ReyNema,0,13,82,5,100.25,0,11,61,5,78.75,21.5
Orkam,0,32,104,0,112.0,0,30,83,0,90.5,21.5
Yum Yum 1,0,1,88,0,88.25,0,1,67,0,67.25,21.0
Loos,0,34,128,0,136.5,0,31,108,0,115.75,20.75
CHOCO 1,0,46,9,0,20.5,0,0,0,0,0,20.5
Lord Tudor,0,8,88,1,93.0,0,7,71,0,72.75,20.25
YumYum,0,0,100,0,100.0,0,0,81,0,81.0,19.0
8track,8,616,140,0,294.8,8,606,125,0,277.3,17.5
LadyLu,1,194,215,0,263.6,1,189,199,0,246.35,17.25
Loos shadow,290,596,306,0,484.0,290,593,290,0,467.25,16.75
CullObsidian,0,2,54,0,54.5,0,0,38,0,38.0,16.5
LadyMayMay,315,890,523,3,786.0,315,885,508,3,769.75,16.25
LadyRooRoo,2,218,186,1,243.7,2,211,172,1,227.95,15.75
Pennybags 7,0,1,71,0,71.25,0,0,56,0,56.0,15.25
RaGnar,0,1,61,0,61.25,0,0,46,0,46.0,15.25
ProximaMdnit,0,2,55,0,55.5,0,1,41,0,41.25,14.25
malphite,0,1,114,0,114.25,0,1,100,0,100.25,14.0
Perun,0,3,91,0,91.75,0,3,77,0,77.75,14.0
Lady Lioness,0,47,55,0,66.75,0,41,43,0,53.25,13.5
Wolffsson,0,14,57,0,60.5,0,13,45,0,48.25,12.25
CorVusGlaive,0,0,48,0,48.0,0,0,36,0,36.0,12.0
ZorO,61,770,73,0,271.6,61,763,63,0,259.85,11.75
FLuffyBunny,0,0,89,0,89.0,0,0,78,0,78.0,11.0
ReyN,218,472,272,0,411.8,218,470,262,0,401.3,10.5
shiny,0,210,28,0,80.5,0,173,28,0,71.25,9.25
brokenjade00,1,15,115,0,118.85,1,15,106,0,109.85,9.0
Laxuss Redwyne,0,3,61,1,64.75,0,3,53,1,56.75,8.0
Oma2015,0,0,40,0,40.0,0,0,33,0,33.0,7.0
Little Tudor,513,708,21,0,249.3,513,684,21,0,243.3,6.0
Chaos2018,0,10,30,0,32.5,0,10,24,0,26.5,6.0
Korioko,0,576,0,0,144.0,0,554,0,0,138.5,5.5
gibbs,0,109,4,0,31.25,0,103,0,0,25.75,5.5
Lil Lioness,826,866,3,0,302.1,826,848,3,0,297.6,4.5
Lord Casco,0,222,18,0,73.5,0,208,17,0,69.0,4.5
tiks n tease,0,23,9,0,14.75,0,22,5,0,10.5,4.25
Efah,352,300,135,1,248.2,351,300,131,1,244.1,4.1
Nagala,301,273,82,0,180.35,301,273,78,0,176.35,4.0
PPaTT,0,107,0,0,26.75,0,93,0,0,23.25,3.5
kela,606,280,84,0,214.6,606,278,81,0,211.1,3.5
tank008,357,72,0,0,53.7,326,71,0,0,50.35,3.35
Orkwam,82,32,1,0,17.2,79,25,0,0,14.15,3.05
MinaOfDoom,0,0,73,1,76.0,0,0,70,1,73.0,3.0
Ares Inferno,66,205,57,0,114.85,66,205,54,0,111.85,3.0
Jarv2s Stark,0,0,3,0,3.0,0,0,0,0,0,3.0
CHOCO TWIST,0,53,8,0,21.25,0,42,8,0,18.5,2.75
Chrispep,44,8,0,0,6.4,32,3,0,0,3.95,2.45
Tuatahi,0,25,16,0,22.25,0,17,16,0,20.25,2.0
brokenjade01,70,121,5,0,42.25,70,115,5,0,40.75,1.5
Pori Junior,39,99,35,0,63.65,39,97,34,0,62.15,1.5
Lord Greg,1,48,27,0,39.1,1,47,26,0,37.85,1.25
Frickey,0,0,20,0,20.0,0,0,19,0,19.0,1.0
brokenjade03,34,33,0,0,11.65,34,29,0,0,10.65,1.0
brokenjade20,21,1,0,0,2.35,15,0,0,0,1.5,0.85
APOLO1,130,11,0,0,15.75,124,10,0,0,14.9,0.85
Durrandon800,1,109,2,0,29.35,1,107,2,0,28.85,0.5
sonar,35,18,0,0,8.0,35,16,0,0,7.5,0.5
Wolvesbane,1759,115,1,0,205.65,1759,113,1,0,205.15,0.5
Wolffssonson,288,106,2,0,57.3,288,105,2,0,57.05,0.25
Letel,546,0,0,0,54.6,544,0,0,0,54.4,0.2
Borutha,2,0,0,0,0.2,1,0,0,0,0.1,0.1
LilLetel,121,0,0,0,12.1,120,0,0,0,12.0,0.1
kela3,1,0,0,0,0.1,0,0,0,0,0,0.1
Drunkard,1,3,0,0,0.85,0,3,0,0,0.75,0.1
Ze Joker,0,0,18,0,18.0,0,0,18,0,18.0,0.0
Morana 1,0,0,8,8,32.0,0,0,8,8,32.0,0.0
DonKanallje,4,47,76,6,106.15,4,47,76,6,106.15,0.0
Rum runner,93,380,118,0,222.3,93,380,118,0,222.3,0.0
tank010,0,0,0,0,0.0,0,0,0,0,0.0,0.0
tank009,9,0,0,0,0.9,9,0,0,0,0.9,0.0
kela2,0,0,0,0,0.0,0,0,0,0,0,0.0
Kpolice,0,0,0,0,0.0,0,0,0,0,0.0,0.0
Total,,,,,9957.00,,,,,9001.25,955.75
